Country Name,Country Code,year,exports,imports,government,carbon_intensity,investment,gdp,consumption
Belize,BLZ,2005,83994818.6528498,50562966.031482935,-3044414.5356662273,0.006083346783359242,21829268.292682946,38482432.09455633,-13581261.261261225
Belize,BLZ,2006,214870466.32124352,3816072.908036351,-5581426.648721397,0.009200665532665991,5821138.211382091,79955726.78713489,-24252252.25225234
Belize,BLZ,2007,-212917098.4455961,-9063173.156586528,24862718.707940787,-0.006175062061486061,29105691.056910574,62110246.618933916,26192432.432432413
Belize,BLZ,2008,42974093.26424885,76321458.16072905,-1014804.8452221155,-0.0015837064531222106,75189701.89701897,-32201620.63870883,19886846.84684682
Belize,BLZ,2009,42485751.29533672,-139763670.2568351,21818304.17227453,0.018524381551048782,-106235772.3577236,-7327613.36515522,-42683963.963963985
Belize,BLZ,2010,4395077.720207214,23850455.67522776,14714670.25572002,0.0181555368484293,-56756097.56097558,20886190.47619033,30072792.792792797
Belize,BLZ,2011,32230569.948186398,100171913.83595681,3551816.9582772255,-0.04380129926816398,2910569.1056910753,-4635837.026934862,14551351.351351261
Belize,BLZ,2012,111830310.88082898,62488193.869096994,10655450.874831796,0.0038368552979547027,-9216802.168021679,70684052.73326492,51414774.77477479
Belize,BLZ,2013,-13673575.129533768,83476594.86329734,21818304.17227459,0.01711698030098617,43658536.58536586,87383035.5722239,63540900.90090084
Belize,BLZ,2014,11720207.253885984,34821665.28583276,3044414.5356662273,-0.004335937234577689,54330623.30623311,82597655.41538835,41713873.87387371
Belize,BLZ,2015,-27835492.22797942,98263877.3819387,24355316.28532976,0.016710501801988215,16493224.932249308,61312683.2594614,43169009.009008884
Belize,BLZ,2016,-101086787.56476676,-8109154.929577351,19788694.481830478,0.006045721786044192,49479674.79674798,1196345.039208889,13096216.216216087
Belize,BLZ,2017,-18068652.849740982,-24327464.78873253,10148048.452220738,0.013322334693711288,-58211382.11382109,-39778472.55369902,-7275675.675675631
Belize,BLZ,2018,97180051.81347144,477009.1135046482,14714670.255720079,-0.018337979604489393,21344173.441734433,23926900.784179688,32498018.018018007
Belize,BLZ,2019,59089378.23834181,59626139.18806958,2029609.6904441118,0.005008454690522829,20859078.59078592,92965979.08853245,58690450.45045042
Belize,BLZ,2020,-346722797.927461,-270464167.3570838,-101987886.94481832,-0.00622358298939843,-41233062.33062333,-315785242.6412091,-173161081.08108115
Belize,BLZ,2021,294470207.2538861,292406586.5782933,53277254.37415886,-0.005326166616902994,91682926.82926834,347039756.7905445,196443243.24324322
Belize,BLZ,2022,159687823.8341968,123545360.39768028,24862718.707940817,-0.003013091550055594,56756097.56097561,222270938.74303913,144543423.42342353
Belize,BLZ,2023,138841091.19170976,-32008360.936205387,11658281.022880256,0.005400773754249244,35189702.16802168,29011367.20081854,31831469.117117405
Cabo Verde,CPV,1991,NA,NA,NA,0.04040502415076319,NA,4402389.774528325,NA
Cabo Verde,CPV,1992,NA,NA,NA,-0.022004379929728257,NA,34774071.20586187,NA
Cabo Verde,CPV,1993,NA,NA,NA,-0.01962830614716224,NA,30714577.49241054,NA
Cabo Verde,CPV,1994,NA,NA,NA,-0.0028603330479859412,NA,73549843.09914869,NA
Cabo Verde,CPV,1995,NA,NA,NA,-0.020803707730535664,NA,64942712.98241371,NA
Cabo Verde,CPV,1996,NA,NA,NA,0.010894729367905726,NA,59218794.60840708,NA
Cabo Verde,CPV,1997,NA,NA,NA,-0.015582433676328167,NA,64612519.58455908,NA
Cabo Verde,CPV,1998,NA,NA,NA,-0.013423742855272675,NA,80829448.14975083,NA
Cabo Verde,CPV,1999,NA,NA,NA,-0.009478267656925887,NA,81540627.97005773,NA
Cabo Verde,CPV,2000,NA,NA,NA,0.1871976910569626,NA,115437837.56241608,NA
Cabo Verde,CPV,2001,NA,NA,NA,0.03589784462699924,NA,20610457.27567196,NA
Cabo Verde,CPV,2002,NA,NA,NA,0.019572690462829667,NA,49576865.660363436,NA
Cabo Verde,CPV,2003,NA,NA,NA,-0.013524533571586561,NA,41501069.560373545,NA
Cabo Verde,CPV,2004,NA,NA,NA,-0.006688144882742275,NA,105564064.38133848,NA
Cabo Verde,CPV,2005,NA,NA,NA,0.15724851285008512,NA,78857526.51684451,NA
Cabo Verde,CPV,2006,NA,NA,NA,0.008093024089333878,NA,97374651.32557225,NA
Cabo Verde,CPV,2007,NA,NA,NA,-0.013791073199380999,NA,199803294.62709188,NA
Cabo Verde,CPV,2008,41257863.85668397,-12569050.311844587,10801798.901843965,-0.04398633815309144,NA,106770430.15869069,14921233.966029406
Cabo Verde,CPV,2009,-96981374.87221181,-62902591.30564749,21179090.64567685,-0.0047795023696307615,NA,-24412367.639149427,54504813.590612054
Cabo Verde,CPV,2010,31375051.046481907,67094729.301300645,6237735.551143765,0.018641931718753946,NA,29367951.085596085,-12063657.337843895
Cabo Verde,CPV,2011,54710667.012911856,43630451.01932526,19298673.770291388,0.05721024122922863,NA,63916566.301785946,21277220.72909808
Cabo Verde,CPV,2012,77359747.72657478,-80288516.05964136,-20087376.780836344,-0.07647496651183555,NA,18340545.068790436,32894855.070095778
Cabo Verde,CPV,2013,2712939.5836503506,-57318720.871754885,6174463.565590262,-0.012833947025133796,NA,10814731.544763327,18108312.27449107
Cabo Verde,CPV,2014,-9431187.394406676,95196110.96674848,16763285.532798052,0.017209901863016686,NA,11994069.287275791,13596684.932752967
Cabo Verde,CPV,2015,85848015.15635979,18502566.241338134,12879673.721557975,3.0495407950525966e-4,NA,16227239.908391476,31833296.3480438
Cabo Verde,CPV,2016,64181600.17762387,130356599.78275049,13560281.623630881,0.0025948094952269463,NA,74906414.59926796,99088556.95066118
Cabo Verde,CPV,2017,76595742.19103742,140812677.29629815,-30371015.973385453,0.005068619368666538,NA,83050755.77577615,159522302.0729723
Cabo Verde,CPV,2018,115328346.51208377,145644964.47152233,18765918.161219418,-0.01346048095972513,NA,70722018.60360336,57575541.002913475
Cabo Verde,CPV,2019,89694376.22607219,44544312.57988024,58254377.133996785,-0.003686399113495553,NA,137465301.59562016,56671383.71041608
Cabo Verde,CPV,2020,-602531671.8296924,-349176409.2004415,10046601.878133535,0.14369209993672616,NA,-440240077.2086978,-200305601.32728958
Cabo Verde,CPV,2021,-13250766.515477598,56513524.464643836,42612167.099220514,-0.02884277458971818,NA,117865227.16237211,126270493.21605587
Cabo Verde,CPV,2022,355057037.3132617,199039397.33955145,-12895200.99341458,-0.05432667482658893,NA,284176486.2053485,189534380.06882548
