"Country Name","Country Code","Series Name","Series Code","change_y1991","change_y1992","change_y1993","change_y1994","change_y1995","change_y1996","change_y1997","change_y1998","change_y1999","change_y2000","change_y2001","change_y2002","change_y2003","change_y2004","change_y2005","change_y2006","change_y2007","change_y2008","change_y2009","change_y2010","change_y2011","change_y2012","change_y2013","change_y2014","change_y2015","change_y2016","change_y2017","change_y2018","change_y2019","change_y2020","change_y2021","change_y2022","change_y2023"
"Barbados","BRB","government","NE.CON.GOVT.KD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barbados","BRB","carbon_intensity","EN.GHG.CO2.RT.GDP.KD",-0.001037321580532824,0.004143156808721321,-0.007804166848862287,-0.006005568093812114,4.5567205738367145e-4,-0.007526683633497053,0.015928582735984673,0.008174760685998456,0.0062374562049626325,-0.033129751107364436,-0.0018134965445626844,0.007343494027429828,0.003589280398224537,-0.0029799288156766718,-0.0019143839498156207,0.002307010746577687,-0.007170018466846076,0.019812593621954575,0.008329067832219206,0.007244749227970887,-0.024999543454128775,-0.006254977521703217,0.017602832587872694,-0.011907004588578018,0.010977771947392023,0.007504013762464595,-0.01710543144476881,0.012149143693973852,0.01683887183979982,-0.00812814501509998,0.019221197393641393,-0.024741506796030183,9.503685187125799e-4
"Barbados","BRB","investment","NE.GDI.FTOT.KD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barbados","BRB","gdp","NY.GDP.MKTP.KD",-175741179.79656887,-246517491.11395884,32389159.416432858,82772296.2864418,84571694.03179312,170342986.5604949,211129335.455266,173941782.05121422,16194579.708212852,215927729.44290733,-119959849.69051552,38986951.149409294,108563663.9698925,71975909.81431389,204531543.72224808,326316162.6663866,118549181.83804226,36869119.9830513,-293868642.7830286,-123377145.92864323,-39789232.05092716,-16919116.435563087,-54390685.510230064,4391215.278514862,-45123971.68845177,94758310.91822147,6914012.002134323,-63278939.432868004,34759643.37797165,-807096128.841816,-11611438.49840355,810058375.2668924,219124242.5426035
"Bahamas, The","BHS","exports","NE.EXP.GNFS.KD",-169694484.36952877,-31381142.82955742,108194158.2292738,-22688197.718203068,69760106.96125174,100176298.66117382,-640623225.7659631,-27563068.035530567,146960779.80175066,113518500.57929945,127967905.18795061,13513410.787847519,17588883.882595062,306762224.83264685,-62692086.122553825,55730632.080329895,-41661474.961380005,-63403831.42378998,-89484909.24304819,34768270.468589306,173539104.3383112,1449717929.3254375,38044248.84140015,-240920909.50051403,58402114.4438715,-299069525.61791945,-8921191.104531288,475124113.3496394,74879505.66426373,-2020098913.8130794,549087125.0643668,1298564677.2013388,194589215.37075233
"Bahamas, The","BHS","imports","NE.IMP.GNFS.KD",-85758899.99443293,-157272345.99524212,-16421462.560552597,143721761.77882314,64556042.395870924,223119515.00384665,867011601.2260256,438308564.8629532,110425049.56202316,209733612.36312485,-152354477.586792,-107590681.7189188,12845931.546544075,134080011.01870966,559917357.3720045,547109857.9318085,-185271576.67314816,-285617806.34562397,-556448859.7741714,-15670691.363060951,297541367.33983517,57734631.760044575,-64710059.062057495,331063772.1011591,-273521300.8728504,304949155.838254,361992009.6840496,-107994218.83556461,-185012159.9553051,-1282998222.240944,694871698.8101125,-90584474.66029358,431717458.624413
"Bahamas, The","BHS","consumption","NE.CON.TOTL.KD",-187873867.5867777,-301336211.3721361,-35953002.44011307,216271070.0119524,308976731.9941168,399408134.7867527,1113299190.3144588,704519350.2580566,563329754.5015392,225341686.92749596,98692789.71517181,260636639.58490562,-218237684.81236458,-168490099.75268364,676807870.9329166,273425800.4175186,104182245.89504814,-214734609.3892002,-793319376.6971989,74318038.65623093,-55902429.86741829,-689528535.8773661,-208129648.74496555,297262369.49804115,248757495.55216599,57409339.40699196,698002455.7557468,25098850.448087692,-673657060.0774441,-1197768026.0425568,1288593573.7459297,390857108.10855293,689694883.0343323
"Bahamas, The","BHS","government","NE.CON.GOVT.KD",47024297.87574518,-46933227.517276764,-21976804.07447934,115246964.48223352,-57704635.98307145,58506904.57422304,611457812.1331322,-20041266.73146248,-442844.02335715294,55211321.14458895,45005311.2109406,-21441889.689056873,-167374443.43254232,-46416232.86675286,44160817.957096815,25437784.597488403,-2481986.270443201,106303163.00213528,61503825.75554657,-4819790.765839815,118713094.35435104,-400197114.03797436,-78373093.43598604,-61565617.944852114,127899533.16445637,-60340072.85695696,213811273.69573045,-15077294.190576077,196993499.5063789,153677174.80312562,-69989953.08685446,225541490.96558428,89485388.81278348
"Bahamas, The","BHS","carbon_intensity","EN.GHG.CO2.RT.GDP.KD",-0.007241047665179148,-0.012357416740247748,0.002653968391643724,0.008211536204235662,0.012747466742880312,0.00928252115264902,-6.260246103053924e-4,0.013573715353035781,-0.024705477676196824,-0.03358539060525238,-0.0028728805637679433,0.006092425674995336,-0.02409582483205816,0.005200291256721362,-0.0037850610049977446,0.018239530793205172,0.01706985809939876,0.006777208501114684,-0.015507621366002755,0.011814445540008114,-0.038501412402339785,0.011744554020844025,0.009096334635529696,0.002167259502623614,-0.0023411073889915424,0.011754298168719687,0.00786297234222244,0.01089525091208765,0.02080070034340467,0.004771251859990444,-0.006298005939291751,-0.01363195141015261,0.0036084395794307444
"Bahamas, The","BHS","investment","NE.GDI.FTOT.KD",-48226012.487160206,1202710.4416618347,-230785870.84259498,170743925.02864802,113673772.63533568,161376082.78568578,510504709.8756058,502054512.57058454,-254920645.8560562,339592231.91727304,-246912213.34787607,94636350.45767689,129937058.37279606,-204190936.2013502,503268787.5357237,552138536.3311286,-108696883.58575773,-243095920.60029554,-402705618.7958193,-195633188.82798815,313918989.7971864,792208406.6214743,-357796719.2914634,377504594.7177315,-644673998.3570571,149972595.2975936,286058125.3192692,-190496612.98339128,87745821.88565636,-937044426.074471,243250114.24666214,-136875772.45930576,102326758.57022524
